,country,population,cases,deaths,day
33,St-Vincent-Grenadines,111551.0,"{'new': None, 'active': 57, 'critical': None, 'recovered': 9493, '1M_pop': '86723', 'total': 9674}","{'new': None, '1M_pop': '1112', 'total': 124}",2024-09-28
34,Antigua-and-Barbuda,99509.0,"{'new': None, 'active': 6, 'critical': None, 'recovered': 8954, '1M_pop': '91509', 'total': 9106}","{'new': None, '1M_pop': '1467', 'total': 146}",2024-09-28
35,Djibouti,1016097.0,"{'new': None, 'active': 74, 'critical': None, 'recovered': 15427, '1M_pop': '15441', 'total': 15690}","{'new': None, '1M_pop': '186', 'total': 189}",2024-09-28
36,Greenland,56973.0,"{'new': None, 'active': 9189, 'critical': 4, 'recovered': 2761, '1M_pop': '210117', 'total': 11971}","{'new': None, '1M_pop': '369', 'total': 21}",2024-09-28
37,Gambia,2558482.0,"{'new': '+28', 'active': 65, 'critical': None, 'recovered': 12189, '1M_pop': '4935', 'total': 12626}","{'new': None, '1M_pop': '145', 'total': 372}",2024-09-28
38,Vanuatu,321832.0,"{'new': None, 'active': 29, 'critical': None, 'recovered': 11976, '1M_pop': '37346', 'total': 12019}","{'new': None, '1M_pop': '44', 'total': 14}",2024-09-28
39,Tonga,107749.0,"{'new': None, 'active': 1299, 'critical': None, 'recovered': 15638, '1M_pop': '157310', 'total': 16950}","{'new': None, '1M_pop': '121', 'total': 13}",2024-09-28
40,Marshall-Islands,60057.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 16121, '1M_pop': '268711', 'total': 16138}","{'new': None, '1M_pop': '283', 'total': 17}",2024-09-28
41,Dominica,72344.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 15964, '1M_pop': '221691', 'total': 16038}","{'new': None, '1M_pop': '1023', 'total': 74}",2024-09-28
42,CAR,5016678.0,"{'new': None, 'active': 127, 'critical': 2, 'recovered': 15200, '1M_pop': '3078', 'total': 15440}","{'new': None, '1M_pop': '23', 'total': 113}",2024-09-28
43,Saint-Martin,39730.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '310194', 'total': 12324}","{'new': None, '1M_pop': '1586', 'total': 63}",2024-09-28
44,Nicaragua,6779100.0,"{'new': None, 'active': 14041, 'critical': None, 'recovered': 4225, '1M_pop': '2728', 'total': 18491}","{'new': None, '1M_pop': '33', 'total': 225}",2024-09-28
45,Tajikistan,9957464.0,"{'new': None, 'active': 397, 'critical': None, 'recovered': 17264, '1M_pop': '1786', 'total': 17786}","{'new': None, '1M_pop': '13', 'total': 125}",2024-09-28
46,Equatorial-Guinea,1496662.0,"{'new': '+7', 'active': 139, 'critical': 5, 'recovered': 16907, '1M_pop': '11512', 'total': 17229}","{'new': None, '1M_pop': '122', 'total': 183}",2024-09-28
47,South-Sudan,11618511.0,"{'new': None, 'active': 557, 'critical': 1, 'recovered': 18115, '1M_pop': '1620', 'total': 18819}","{'new': None, '1M_pop': '13', 'total': 147}",2024-09-28
48,Monaco,39783.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '431868', 'total': 17181}","{'new': None, '1M_pop': '1684', 'total': 67}",2024-09-28
49,Samoa,202239.0,"{'new': None, 'active': 15370, 'critical': None, 'recovered': 1605, '1M_pop': '84089', 'total': 17006}","{'new': None, '1M_pop': '153', 'total': 31}",2024-09-28
50,Congo,5797805.0,"{'new': None, 'active': 983, 'critical': None, 'recovered': 24006, '1M_pop': '4377', 'total': 25375}","{'new': None, '1M_pop': '67', 'total': 386}",2024-09-28
51,Bermuda,61939.0,"{'new': '+11', 'active': 10, 'critical': None, 'recovered': 18685, '1M_pop': '304493', 'total': 18860}","{'new': '+2', '1M_pop': '2664', 'total': 165}",2024-09-28
52,Grenada,113475.0,"{'new': '+10', 'active': 97, 'critical': 4, 'recovered': 19358, '1M_pop': '173545', 'total': 19693}","{'new': None, '1M_pop': '2097', 'total': 238}",2024-09-28
53,Timor-Leste,1369429.0,"{'new': None, 'active': 220, 'critical': None, 'recovered': 23102, '1M_pop': '17131', 'total': 23460}","{'new': None, '1M_pop': '101', 'total': 138}",2024-09-28
54,Solomon-Islands,721159.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '35989', 'total': 25954}","{'new': None, '1M_pop': '276', 'total': 199}",2024-09-28
55,Burkina-Faso,22102838.0,"{'new': None, 'active': 118, 'critical': None, 'recovered': 21596, '1M_pop': '1001', 'total': 22114}","{'new': None, '1M_pop': '18', 'total': 400}",2024-09-28
56,Liechtenstein,38387.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '562013', 'total': 21574}","{'new': None, '1M_pop': '2449', 'total': 94}",2024-09-28
57,Gibraltar,33704.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '609720', 'total': 20550}","{'new': None, '1M_pop': '3353', 'total': 113}",2024-09-28
58,Cayman-Islands,67277.0,"{'new': None, 'active': 22882, 'critical': 1, 'recovered': 8553, '1M_pop': '467797', 'total': 31472}","{'new': None, '1M_pop': '550', 'total': 37}",2024-09-28
59,Somalia,16841795.0,"{'new': '+10', 'active': 12791, 'critical': None, 'recovered': 13182, '1M_pop': '1623', 'total': 27334}","{'new': None, '1M_pop': '81', 'total': 1361}",2024-09-28
60,Mali,21473764.0,"{'new': None, 'active': 89, 'critical': None, 'recovered': 32332, '1M_pop': '1544', 'total': 33164}","{'new': None, '1M_pop': '35', 'total': 743}",2024-09-28
61,Saint-Lucia,185113.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 29805, '1M_pop': '163225', 'total': 30215}","{'new': None, '1M_pop': '2215', 'total': 410}",2024-09-28
62,Benin,12784726.0,"{'new': None, 'active': 26, 'critical': None, 'recovered': 27847, '1M_pop': '2193', 'total': 28036}","{'new': None, '1M_pop': '13', 'total': 163}",2024-09-28
63,Macao,667490.0,"{'new': None, 'active': 24063, 'critical': None, 'recovered': 3487, '1M_pop': '41458', 'total': 27673}","{'new': None, '1M_pop': '184', 'total': 123}",2024-09-28
64,Micronesia,117489.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '225953', 'total': 26547}","{'new': None, '1M_pop': '553', 'total': 65}",2024-09-28
65,San-Marino,34085.0,"{'new': None, 'active': 46, 'critical': None, 'recovered': 26011, '1M_pop': '768226', 'total': 26185}","{'new': None, '1M_pop': '3755', 'total': 128}",2024-09-28
66,Isle-of-Man,85732.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '443335', 'total': 38008}","{'new': None, '1M_pop': '1353', 'total': 116}",2024-09-28
67,Mayotte,286259.0,"{'new': '+19', 'active': None, 'critical': None, 'recovered': None, '1M_pop': '146815', 'total': 42027}","{'new': None, '1M_pop': '657', 'total': 188}",2024-09-28
68,Bahamas,400516.0,"{'new': None, 'active': 874, 'critical': 1, 'recovered': 36366, '1M_pop': '95087', 'total': 38084}","{'new': None, '1M_pop': '2107', 'total': 844}",2024-09-28
69,Mauritius,1274727.0,"{'new': None, 'active': 696, 'critical': None, 'recovered': 41278, '1M_pop': '33752', 'total': 43025}","{'new': None, '1M_pop': '824', 'total': 1051}",2024-09-28
70,Togo,8680837.0,"{'new': None, 'active': 1, 'critical': None, 'recovered': 39281, '1M_pop': '4559', 'total': 39572}","{'new': None, '1M_pop': '33', 'total': 290}",2024-09-28
71,Guinea,13865691.0,"{'new': None, 'active': 347, 'critical': None, 'recovered': 37757, '1M_pop': '2782', 'total': 38572}","{'new': None, '1M_pop': '34', 'total': 468}",2024-09-28
72,Lesotho,2175699.0,"{'new': None, 'active': 9435, 'critical': None, 'recovered': 25980, '1M_pop': '16610', 'total': 36138}","{'new': None, '1M_pop': '332', 'total': 723}",2024-09-28
73,Haiti,11680283.0,"{'new': None, 'active': 73, 'critical': None, 'recovered': 33734, '1M_pop': '2968', 'total': 34667}","{'new': None, '1M_pop': '74', 'total': 860}",2024-09-28
74,Faeroe-Islands,49233.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '703959', 'total': 34658}","{'new': None, '1M_pop': '569', 'total': 28}",2024-09-28
75,Cura&ccedil;ao,165529.0,"{'new': None, 'active': 971, 'critical': 3, 'recovered': 44720, '1M_pop': '277812', 'total': 45986}","{'new': None, '1M_pop': '1782', 'total': 295}",2024-09-28
76,Aruba,107609.0,"{'new': None, 'active': 1494, 'critical': 2, 'recovered': 42438, '1M_pop': '410969', 'total': 44224}","{'new': None, '1M_pop': '2714', 'total': 292}",2024-09-28
77,Sudan,45992020.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 58947, '1M_pop': '1391', 'total': 63993}","{'new': None, '1M_pop': '110', 'total': 5046}",2024-09-28
78,Mauritania,4901981.0,"{'new': None, 'active': 380, 'critical': None, 'recovered': 62471, '1M_pop': '13025', 'total': 63848}","{'new': None, '1M_pop': '203', 'total': 997}",2024-09-28
79,Bhutan,787941.0,"{'new': None, 'active': 1112, 'critical': None, 'recovered': 61564, '1M_pop': '79571', 'total': 62697}","{'new': None, '1M_pop': '27', 'total': 21}",2024-09-28
80,Syria,19364809.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 54578, '1M_pop': '2982', 'total': 57743}","{'new': None, '1M_pop': '163', 'total': 3165}",2024-09-28
81,Burundi,12624840.0,"{'new': None, 'active': 1114, 'critical': None, 'recovered': 53569, '1M_pop': '4334', 'total': 54721}","{'new': None, '1M_pop': '3', 'total': 38}",2024-09-28
82,Seychelles,99426.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 51048, '1M_pop': '515157', 'total': 51220}","{'new': None, '1M_pop': '1730', 'total': 172}",2024-09-28
83,Gabon,2331533.0,"{'new': None, 'active': 70, 'critical': None, 'recovered': 48674, '1M_pop': '21038', 'total': 49051}","{'new': None, '1M_pop': '132', 'total': 307}",2024-09-28
84,Andorra,77463.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '619844', 'total': 48015}","{'new': None, '1M_pop': '2130', 'total': 165}",2024-09-28
85,Papua-New-Guinea,9292169.0,"{'new': None, 'active': 26, 'critical': None, 'recovered': 46168, '1M_pop': '5043', 'total': 46864}","{'new': None, '1M_pop': '72', 'total': 670}",2024-09-28
86,Tanzania,63298550.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '683', 'total': 43223}","{'new': None, '1M_pop': '13', 'total': 846}",2024-09-28
87,French-Guiana,314169.0,"{'new': '+13', 'active': 86367, 'critical': 6, 'recovered': 11254, '1M_pop': '312065', 'total': 98041}","{'new': None, '1M_pop': '1337', 'total': 420}",2024-09-28
88,Fiji,909466.0,"{'new': None, 'active': 1006, 'critical': None, 'recovered': 67226, '1M_pop': '75997', 'total': 69117}","{'new': None, '1M_pop': '973', 'total': 885}",2024-09-28
89,Suriname,596831.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '138378', 'total': 82588}","{'new': None, '1M_pop': '2359', 'total': 1408}",2024-09-28
90,DRC,95240792.0,"{'new': None, 'active': 13381, 'critical': None, 'recovered': 84489, '1M_pop': '1043', 'total': 99338}","{'new': None, '1M_pop': '15', 'total': 1468}",2024-09-28
91,Malawi,20180839.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '4437', 'total': 89535}","{'new': None, '1M_pop': '133', 'total': 2686}",2024-09-28
92,Senegal,17653671.0,"{'new': None, 'active': 58, 'critical': None, 'recovered': 87024, '1M_pop': '5044', 'total': 89053}","{'new': None, '1M_pop': '112', 'total': 1971}",2024-09-28
93,Ivory-Coast,27742298.0,"{'new': None, 'active': 52, 'critical': None, 'recovered': 87497, '1M_pop': '3186', 'total': 88384}","{'new': None, '1M_pop': '30', 'total': 835}",2024-09-28
94,New-Caledonia,290915.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '275214', 'total': 80064}","{'new': None, '1M_pop': '1079', 'total': 314}",2024-09-28
95,French-Polynesia,284164.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '278902', 'total': 79254}","{'new': None, '1M_pop': '2287', 'total': 650}",2024-09-28
96,Eswatini,1184817.0,"{'new': None, 'active': 648, 'critical': None, 'recovered': 73116, '1M_pop': '63462', 'total': 75191}","{'new': None, '1M_pop': '1204', 'total': 1427}",2024-09-28
97,Guyana,794045.0,"{'new': None, 'active': 824, 'critical': None, 'recovered': 72013, '1M_pop': '93366', 'total': 74137}","{'new': None, '1M_pop': '1637', 'total': 1300}",2024-09-28
98,Belize,412190.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '173243', 'total': 71409}","{'new': None, '1M_pop': '1669', 'total': 688}",2024-09-28
99,Madagascar,29178077.0,"{'new': None, 'active': 198, 'critical': None, 'recovered': 66862, '1M_pop': '2347', 'total': 68486}","{'new': None, '1M_pop': '49', 'total': 1426}",2024-09-28
100,Cabo-Verde,567678.0,"{'new': None, 'active': 305, 'critical': 23, 'recovered': 63755, '1M_pop': '113580', 'total': 64477}","{'new': None, '1M_pop': '735', 'total': 417}",2024-09-28
101,Channel-Islands,176463.0,"{'new': '+91', 'active': 168, 'critical': None, 'recovered': 101321, '1M_pop': '576421', 'total': 101717}","{'new': None, '1M_pop': '1292', 'total': 228}",2024-09-28
102,Trinidad-and-Tobago,1406585.0,"{'new': None, 'active': 28, 'critical': None, 'recovered': 187078, '1M_pop': '136143', 'total': 191496}","{'new': None, '1M_pop': '3121', 'total': 4390}",2024-09-28
103,Maldives,540985.0,"{'new': None, 'active': 22691, 'critical': 25, 'recovered': 163687, '1M_pop': '345100', 'total': 186694}","{'new': None, '1M_pop': '584', 'total': 316}",2024-09-28
104,Namibia,2633874.0,"{'new': None, 'active': 1184, 'critical': None, 'recovered': 167099, '1M_pop': '65451', 'total': 172389}","{'new': None, '1M_pop': '1559', 'total': 4106}",2024-09-28
105,Uganda,48432863.0,"{'new': None, 'active': 68086, 'critical': None, 'recovered': 100431, '1M_pop': '3554', 'total': 172149}","{'new': None, '1M_pop': '75', 'total': 3632}",2024-09-28
106,Ghana,32395450.0,"{'new': None, 'active': 2, 'critical': None, 'recovered': 170425, '1M_pop': '5306', 'total': 171889}","{'new': None, '1M_pop': '45', 'total': 1462}",2024-09-28
107,Jamaica,2985094.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '52551', 'total': 156869}","{'new': None, '1M_pop': '1258', 'total': 3756}",2024-09-28
108,Cambodia,17168639.0,"{'new': None, 'active': 3, 'critical': None, 'recovered': 136044, '1M_pop': '8102', 'total': 139103}","{'new': None, '1M_pop': '178', 'total': 3056}",2024-09-28
109,Rwanda,13600464.0,"{'new': None, 'active': 11, 'critical': None, 'recovered': 132039, '1M_pop': '9817', 'total': 133518}","{'new': None, '1M_pop': '108', 'total': 1468}",2024-09-28
110,Cameroon,27911548.0,"{'new': None, 'active': 125, 'critical': None, 'recovered': 123280, '1M_pop': '4492', 'total': 125379}","{'new': None, '1M_pop': '71', 'total': 1974}",2024-09-28
111,Malta,444033.0,"{'new': None, 'active': 386, 'critical': None, 'recovered': 120149, '1M_pop': '273448', 'total': 121420}","{'new': None, '1M_pop': '1993', 'total': 885}",2024-09-28
112,Barbados,288023.0,"{'new': None, 'active': 1283, 'critical': None, 'recovered': 108647, '1M_pop': '383921', 'total': 110578}","{'new': None, '1M_pop': '2250', 'total': 648}",2024-09-28
113,Angola,35027343.0,"{'new': None, 'active': 1971, 'critical': None, 'recovered': 103419, '1M_pop': '3064', 'total': 107327}","{'new': None, '1M_pop': '55', 'total': 1937}",2024-09-28
114,Uzbekistan,34382084.0,"{'new': '+136', 'active': 10539, 'critical': 23, 'recovered': 241486, '1M_pop': '7378', 'total': 253662}","{'new': None, '1M_pop': '48', 'total': 1637}",2024-09-28
115,Kyrgyzstan,6728271.0,"{'new': '+7', 'active': 7500, 'critical': 131, 'recovered': 196406, '1M_pop': '30750', 'total': 206897}","{'new': None, '1M_pop': '445', 'total': 2991}",2024-09-28
116,Montenegro,627950.0,"{'new': None, 'active': 1902, 'critical': None, 'recovered': 291794, '1M_pop': '472238', 'total': 296542}","{'new': None, '1M_pop': '4532', 'total': 2846}",2024-09-28
117,Algeria,45350148.0,"{'new': None, 'active': 82068, 'critical': None, 'recovered': 183061, '1M_pop': '5998', 'total': 272010}","{'new': None, '1M_pop': '152', 'total': 6881}",2024-09-28
118,Nigeria,216746934.0,"{'new': None, 'active': 4080, 'critical': 11, 'recovered': 259953, '1M_pop': '1233', 'total': 267188}","{'new': None, '1M_pop': '15', 'total': 3155}",2024-09-28
119,Zimbabwe,15331428.0,"{'new': None, 'active': 1731, 'critical': 12, 'recovered': 258888, '1M_pop': '17373', 'total': 266359}","{'new': None, '1M_pop': '374', 'total': 5740}",2024-09-28
120,Afghanistan,40754388.0,"{'new': None, 'active': 15098, 'critical': None, 'recovered': 211080, '1M_pop': '5746', 'total': 234174}","{'new': None, '1M_pop': '196', 'total': 7996}",2024-09-28
121,Mozambique,33089461.0,"{'new': None, 'active': 2676, 'critical': 11, 'recovered': 228805, '1M_pop': '7064', 'total': 233731}","{'new': None, '1M_pop': '68', 'total': 2250}",2024-09-28
122,Martinique,374087.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '615777', 'total': 230354}","{'new': None, '1M_pop': '2946', 'total': 1102}",2024-09-28
123,Laos,7481023.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '29270', 'total': 218970}","{'new': None, '1M_pop': '101', 'total': 758}",2024-09-28
124,Iceland,345393.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '607731', 'total': 209906}","{'new': None, '1M_pop': '663', 'total': 229}",2024-09-28
125,Guadeloupe,399794.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '508349', 'total': 203235}","{'new': None, '1M_pop': '2554', 'total': 1021}",2024-09-28
126,El-Salvador,6550389.0,"{'new': None, 'active': 18215, 'critical': None, 'recovered': 179410, '1M_pop': '30816', 'total': 201855}","{'new': None, '1M_pop': '646', 'total': 4230}",2024-09-28
127,Ethiopia,120812698.0,"{'new': None, 'active': 5412, 'critical': None, 'recovered': 488171, '1M_pop': '4148', 'total': 501157}","{'new': None, '1M_pop': '63', 'total': 7574}",2024-09-28
128,R&eacute;union,908061.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '544672', 'total': 494595}","{'new': None, '1M_pop': '1014', 'total': 921}",2024-09-28
